card_id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed
4524,825,VISA,DEBIT,4344676511950440,2022-12-01,623,YES,2,24295.0,2002-09-01,2008
2731,825,VISA,DEBIT,4956965974959980,2020-12-01,393,YES,2,21968.0,2014-04-01,2014
3701,825,VISA,DEBIT,4582313478255490,2024-02-01,719,YES,2,46414.0,2003-07-01,2004
42,825,VISA,CREDIT,4879494103069050,2024-08-01,693,NO,1,12400.0,2003-01-01,2012
4659,825,MASTERCARD,DEBIT (PREPAID),5722874738736010,2009-03-01,75,YES,1,28.0,2008-09-01,2009
4537,1746,VISA,CREDIT,4404898874682990,2003-09-01,736,YES,1,27500.0,2003-09-01,2012
1278,1746,VISA,DEBIT,4001482973848630,2022-07-01,972,YES,2,28508.0,2011-02-01,2011
3687,1746,MASTERCARD,DEBIT,5627220683410940,2022-06-01,48,YES,2,9022.0,2003-07-01,2015
3465,1746,MASTERCARD,DEBIT (PREPAID),5711382187309320,2020-11-01,722,YES,2,54.0,2010-06-01,2015
3754,1746,MASTERCARD,DEBIT (PREPAID),5766121508358700,2023-02-01,908,YES,1,99.0,2006-07-01,2012
5144,1718,MASTERCARD,DEBIT,5495199163052050,2022-03-01,677,YES,2,31599.0,2009-10-01,2009
2029,1718,MASTERCARD,DEBIT,5804499644308590,2023-07-01,258,NO,2,27480.0,2002-03-01,2008
2379,1718,MASTERCARD,DEBIT,5766352389579830,2020-02-01,992,YES,1,26743.0,2019-03-01,2019
2732,1718,VISA,DEBIT,4242015583697290,2020-06-01,928,YES,1,31463.0,2014-04-01,2014
4706,1718,MASTERCARD,DEBIT,5191030913182490,2024-06-01,360,YES,1,16055.0,2009-09-01,2009
281,708,VISA,CREDIT,4017261190134810,2015-05-01,877,YES,2,98100.0,2011-01-01,2011
1106,708,MASTERCARD,DEBIT (PREPAID),5581970288727990,2020-06-01,448,YES,1,62.0,2007-02-01,2007
5621,708,VISA,DEBIT,4032240655674500,2022-06-01,53,YES,1,132439.0,2010-11-01,2011
5165,708,VISA,DEBIT,4935974646456350,2020-06-01,649,YES,1,125723.0,2009-10-01,2010
5757,1164,MASTERCARD,DEBIT,5905027855347650,2022-01-01,886,YES,1,34900.0,1999-12-01,2012
27,68,VISA,CREDIT,4099623033306950,2021-09-01,74,YES,2,9900.0,2002-01-01,2019
4648,68,VISA,DEBIT,4281200324251210,2013-07-01,865,YES,2,21587.0,2007-09-01,2007
5435,68,VISA,CREDIT,4411456925570760,2022-11-01,922,YES,2,15800.0,2005-11-01,2011
3287,1075,MASTERCARD,DEBIT,5202477865497330,2022-04-01,861,YES,1,29964.0,2005-06-01,2014
4761,1075,MASTERCARD,CREDIT,5089768442116300,2023-07-01,686,YES,2,11200.0,2010-09-01,2010
5286,1075,MASTERCARD,DEBIT,5767339719294370,2021-12-01,669,NO,2,26753.0,2014-10-01,2014
744,1711,VISA,DEBIT,4595831603224640,2023-05-01,689,NO,2,17480.0,2020-01-01,2020
5559,1116,MASTERCARD,DEBIT,5341049613275150,2021-09-01,396,YES,2,26546.0,2009-11-01,2009
4905,1116,MASTERCARD,DEBIT,5668831527649350,2021-01-01,356,YES,1,23253.0,2017-09-01,2017
79,1116,VISA,CREDIT,4400056931148230,2021-02-01,497,YES,1,16100.0,2005-01-01,2014
301,1116,VISA,CREDIT,4808554251869440,2021-02-01,921,YES,2,8700.0,2012-01-01,2012
3115,1116,MASTERCARD,DEBIT,5224739362243610,2019-01-01,922,YES,1,29333.0,2012-05-01,2012
3880,1752,MASTERCARD,DEBIT,5294178176133530,2024-07-01,265,YES,2,9496.0,2009-07-01,2012
1766,192,VISA,DEBIT,4857799018106610,2021-07-01,930,YES,1,25499.0,2020-02-01,2020
1767,192,VISA,DEBIT,4324062360619920,2020-02-01,358,YES,1,18641.0,2020-02-01,2020
745,640,VISA,DEBIT,4852639114720720,2023-05-01,995,YES,1,26019.0,2020-01-01,2020
1459,1679,MASTERCARD,DEBIT,5656383455895230,2021-01-01,547,YES,1,25845.0,2020-02-01,2020
138,1094,VISA,DEBIT,4556928160477220,2023-06-01,64,YES,2,2365.0,2007-01-01,2009
3755,1094,MASTERCARD,DEBIT,5515782790823580,2023-06-01,419,YES,2,18684.0,2006-07-01,2017
1768,1094,VISA,CREDIT,4508388296516450,2021-02-01,364,NO,2,7400.0,2020-02-01,2020
5924,1590,MASTERCARD,DEBIT,5548265564669330,2024-12-01,145,YES,2,4147.0,2008-12-01,2016
6074,1660,VISA,DEBIT (PREPAID),4986270376099440,2022-04-01,385,YES,1,76.0,2012-12-01,2012
5923,1660,DISCOVER,CREDIT,6726060094896110,2009-01-01,105,NO,1,4700.0,2008-12-01,2014
4223,1660,VISA,CREDIT,4157109762296140,2021-06-01,433,YES,2,5800.0,2007-08-01,2011
4455,1660,MASTERCARD,DEBIT,5231462717450520,2024-03-01,754,YES,2,12082.0,2016-08-01,2016
3234,1660,MASTERCARD,CREDIT,5074836567307560,2023-03-01,741,NO,2,6000.0,2002-06-01,2010
1005,1660,VISA,DEBIT,4986369179342270,2009-11-01,367,YES,1,620.0,2002-02-01,2014
151,1747,MASTERCARD,DEBIT,5892013969159900,2022-08-01,879,YES,1,14499.0,2008-01-01,2008
4198,1747,MASTERCARD,DEBIT,5179157151686140,2023-07-01,457,YES,2,12332.0,2007-08-01,2009
4403,1747,MASTERCARD,DEBIT,5569640141329520,2024-09-01,904,YES,1,18424.0,2013-08-01,2013
4120,1747,VISA,CREDIT,4708914311449290,2023-07-01,149,NO,1,15400.0,2003-08-01,2008
4224,1747,VISA,DEBIT,4795724941278910,2022-02-01,136,YES,2,14548.0,2007-08-01,2013
4895,1747,MASTERCARD,CREDIT,5300159511214990,2016-12-01,740,YES,2,10100.0,2016-09-01,2016
1028,153,DISCOVER,CREDIT,6580244636542190,2011-04-01,416,YES,1,11200.0,2004-02-01,2008
5956,153,MASTERCARD,DEBIT,5032457975030960,2024-10-01,240,YES,2,20291.0,2009-12-01,2011
107,153,VISA,DEBIT,4382324870900900,2018-08-01,852,YES,1,32092.0,2006-01-01,2010
440,153,MASTERCARD,DEBIT,5456808094753900,2020-02-01,217,YES,1,20463.0,2020-01-01,2020
746,429,VISA,DEBIT,4465362453388900,2022-08-01,738,YES,1,15802.0,2020-01-01,2020
1769,429,VISA,DEBIT,4668447208616690,2020-02-01,314,NO,2,4612.0,2020-02-01,2020
421,429,DISCOVER,CREDIT,6377595394803320,2020-07-01,675,YES,2,19900.0,2020-01-01,2020
974,511,MASTERCARD,DEBIT (PREPAID),5117090980312400,2020-10-01,42,YES,1,73.0,2000-02-01,2012
4707,511,MASTERCARD,DEBIT,5377858405611170,2024-01-01,24,YES,1,11858.0,2009-09-01,2010
7,511,MASTERCARD,DEBIT,5585238056278280,2005-03-01,749,YES,1,9664.0,1998-01-01,2011
2212,511,MASTERCARD,DEBIT,5355281784290560,2020-06-01,810,YES,1,8367.0,2009-03-01,2009
1038,511,VISA,CREDIT,4150093118072730,2022-06-01,135,YES,2,6100.0,2004-02-01,2009
1460,309,MASTERCARD,DEBIT,5979295728871780,2020-02-01,630,YES,3,9944.0,2020-02-01,2020
747,309,VISA,CREDIT,4473643731469830,2020-01-01,771,YES,1,7900.0,2020-01-01,2020
1770,309,VISA,CREDIT,4800116569994470,2020-12-01,201,YES,1,5600.0,2020-02-01,2020
748,777,VISA,DEBIT,4832328468851060,2023-08-01,580,YES,1,68400.0,2020-01-01,2020
441,777,MASTERCARD,DEBIT,5278075482033390,2023-04-01,437,YES,2,77237.0,2020-01-01,2020
3679,1946,VISA,DEBIT,4869845530765330,2024-08-01,701,YES,2,4488.0,2002-07-01,2015
5701,1946,VISA,CREDIT,4231526239204030,2020-02-01,499,YES,2,12500.0,2014-11-01,2014
4510,1674,MASTERCARD,DEBIT,5813611925507600,2020-12-01,734,YES,2,23432.0,2001-09-01,2008
2873,1674,AMEX,CREDIT,366520954874839,2022-05-01,447,YES,2,8800.0,2005-05-01,2011
1461,482,MASTERCARD,CREDIT,5392697458480960,2020-02-01,886,YES,2,12100.0,2020-02-01,2020
