card_id,client_id,card_brand,card_type,card_number,expires,cvv,has_chip,num_cards_issued,credit_limit,acct_open_date,year_pin_last_changed
4524,825,Visa,Debit,4344676511950440,2022-12-01,623,YES,2,$24295,2002-09-01,2008
2731,825,Visa,Debit,4956965974959980,2020-12-01,393,YES,2,$21968,2014-04-01,2014
3701,825,Visa,Debit,4582313478255490,2024-02-01,719,YES,2,$46414,2003-07-01,2004
42,825,Visa,Credit,4879494103069050,2024-08-01,693,NO,1,$12400,2003-01-01,2012
4659,825,Mastercard,Debit (Prepaid),5722874738736010,2009-03-01,75,YES,1,$28,2008-09-01,2009
4537,1746,Visa,Credit,4404898874682990,2003-09-01,736,YES,1,$27500,2003-09-01,2012
1278,1746,Visa,Debit,4001482973848630,2022-07-01,972,YES,2,$28508,2011-02-01,2011
3687,1746,Mastercard,Debit,5627220683410940,2022-06-01,48,YES,2,$9022,2003-07-01,2015
3465,1746,Mastercard,Debit (Prepaid),5711382187309320,2020-11-01,722,YES,2,$54,2010-06-01,2015
3754,1746,Mastercard,Debit (Prepaid),5766121508358700,2023-02-01,908,YES,1,$99,2006-07-01,2012
5144,1718,Mastercard,Debit,5495199163052050,2022-03-01,677,YES,2,$31599,2009-10-01,2009
2029,1718,Mastercard,Debit,5804499644308590,2023-07-01,258,NO,2,$27480,2002-03-01,2008
2379,1718,Mastercard,Debit,5766352389579830,2020-02-01,992,YES,1,$26743,2019-03-01,2019
2732,1718,Visa,Debit,4242015583697290,2020-06-01,928,YES,1,$31463,2014-04-01,2014
4706,1718,Mastercard,Debit,5191030913182490,2024-06-01,360,YES,1,$16055,2009-09-01,2009
281,708,Visa,Credit,4017261190134810,2015-05-01,877,YES,2,$98100,2011-01-01,2011
1106,708,Mastercard,Debit (Prepaid),5581970288727990,2020-06-01,448,YES,1,$62,2007-02-01,2007
5621,708,Visa,Debit,4032240655674500,2022-06-01,53,YES,1,$132439,2010-11-01,2011
5165,708,Visa,Debit,4935974646456350,2020-06-01,649,YES,1,$125723,2009-10-01,2010
5757,1164,Mastercard,Debit,5905027855347650,2022-01-01,886,YES,1,$34900,1999-12-01,2012
27,68,Visa,Credit,4099623033306950,2021-09-01,74,YES,2,$9900,2002-01-01,2019
4648,68,Visa,Debit,4281200324251210,2013-07-01,865,YES,2,$21587,2007-09-01,2007
5435,68,Visa,Credit,4411456925570760,2022-11-01,922,YES,2,$15800,2005-11-01,2011
3287,1075,Mastercard,Debit,5202477865497330,2022-04-01,861,YES,1,$29964,2005-06-01,2014
4761,1075,Mastercard,Credit,5089768442116300,2023-07-01,686,YES,2,$11200,2010-09-01,2010
5286,1075,Mastercard,Debit,5767339719294370,2021-12-01,669,NO,2,$26753,2014-10-01,2014
744,1711,Visa,Debit,4595831603224640,2023-05-01,689,NO,2,$17480,2020-01-01,2020
5559,1116,Mastercard,Debit,5341049613275150,2021-09-01,396,YES,2,$26546,2009-11-01,2009
4905,1116,Mastercard,Debit,5668831527649350,2021-01-01,356,YES,1,$23253,2017-09-01,2017
79,1116,Visa,Credit,4400056931148230,2021-02-01,497,YES,1,$16100,2005-01-01,2014
301,1116,Visa,Credit,4808554251869440,2021-02-01,921,YES,2,$8700,2012-01-01,2012
3115,1116,Mastercard,Debit,5224739362243610,2019-01-01,922,YES,1,$29333,2012-05-01,2012
3880,1752,Mastercard,Debit,5294178176133530,2024-07-01,265,YES,2,$9496,2009-07-01,2012
1766,192,Visa,Debit,4857799018106610,2021-07-01,930,YES,1,$25499,2020-02-01,2020
1767,192,Visa,Debit,4324062360619920,2020-02-01,358,YES,1,$18641,2020-02-01,2020
745,640,Visa,Debit,4852639114720720,2023-05-01,995,YES,1,$26019,2020-01-01,2020
1459,1679,Mastercard,Debit,5656383455895230,2021-01-01,547,YES,1,$25845,2020-02-01,2020
138,1094,Visa,Debit,4556928160477220,2023-06-01,64,YES,2,$2365,2007-01-01,2009
3755,1094,Mastercard,Debit,5515782790823580,2023-06-01,419,YES,2,$18684,2006-07-01,2017
1768,1094,Visa,Credit,4508388296516450,2021-02-01,364,NO,2,$7400,2020-02-01,2020
5924,1590,Mastercard,Debit,5548265564669330,2024-12-01,145,YES,2,$4147,2008-12-01,2016
6074,1660,Visa,Debit (Prepaid),4986270376099440,2022-04-01,385,YES,1,$76,2012-12-01,2012
5923,1660,Discover,Credit,6726060094896110,2009-01-01,105,NO,1,$4700,2008-12-01,2014
4223,1660,Visa,Credit,4157109762296140,2021-06-01,433,YES,2,$5800,2007-08-01,2011
4455,1660,Mastercard,Debit,5231462717450520,2024-03-01,754,YES,2,$12082,2016-08-01,2016
3234,1660,Mastercard,Credit,5074836567307560,2023-03-01,741,NO,2,$6000,2002-06-01,2010
1005,1660,Visa,Debit,4986369179342270,2009-11-01,367,YES,1,$620,2002-02-01,2014
151,1747,Mastercard,Debit,5892013969159900,2022-08-01,879,YES,1,$14499,2008-01-01,2008
4198,1747,Mastercard,Debit,5179157151686140,2023-07-01,457,YES,2,$12332,2007-08-01,2009
